Text,sentiment,hashtags,comments,likes,category
 Enjoying a beautiful day at the park!              , Positive  , #Nature #Park                            ,15,30,nature
 Traffic was terrible this morning.                 , Negative  , #Traffic #Morning                        ,5,10,motivational
 Just finished an amazing workout! 💪               , Positive  , #Fitness #Workout                        ,20,40,motivational
 Excited about the upcoming weekend getaway!        , Positive  , #Travel #Adventure                       ,8,15,motivational
 Trying out a new recipe for dinner tonight.        , Neutral   , #Cooking #Food                           ,12,25,reflective
 Feeling grateful for the little things in life.    , Positive  , #Gratitude #PositiveVibes              ,25,50,positive_emotion
 Rainy days call for cozy blankets and hot cocoa.   , Positive  , #RainyDays #Cozy                         ,10,20,motivational
 The new movie release is a must-watch!             , Positive  , #MovieNight #MustWatch                  ,15,30,motivational
 Political discussions heating up on the timeline.  , Negative  , #Politics #Debate                       ,30,60,motivational
 Missing summer vibes and beach days.               , Neutral   , #Summer #BeachDays                      ,18,35,motivational
 Just published a new blog post. Check it out!      , Positive  , #Blogging #NewPost                      ,22,45,motivational
 Feeling a bit under the weather today.             , Negative  , #SickDay #Health                        ,7,15,motivational
 Exploring the city's hidden gems.                  , Positive  , #CityExplore #HiddenGems                ,12,25,motivational
" New year, new fitness goals! 💪                    ", Positive  , #NewYear #FitnessGoals                  ,28,55,motivational
 Technology is changing the way we live.            , Neutral   , #Tech #Innovation                       ,15,30,motivational
 Reflecting on the past and looking ahead.          , Positive  , #Reflection #Future                     ,20,40,nostalgia
 Just adopted a cute furry friend! 🐾              , Positive  , #PetAdoption #FurryFriend               ,15,30,motivational
 Late-night gaming session with friends.            , Positive  , #Gaming #LateNight                      ,18,35,reflective
 Attending a virtual conference on AI.              , Neutral   , #AI #TechConference                     ,25,50,motivational
 Winter blues got me feeling low.                   , Negative  , #WinterBlues #Mood                      ,8,15,motivational
 Sipping coffee and enjoying a good book.           , Positive  , #Reading #CoffeeTime                    ,22,45,positive_emotion
 Exploring the world of virtual reality.            , Positive  , #VR #VirtualReality                     ,15,30,motivational
 Productive day ticking off my to-do list.          , Positive  , #Productivity #WorkFromHome           ,30,60,motivational
 Just finished a challenging workout routine.       , Positive  , #Fitness #ChallengeAccepted             ,20,40,motivational
 Celebrating a milestone at work! 🎉               , Positive  , #Career #Milestone                      ,12,25,motivational
 Sunday brunch with friends.                        , Positive  , #Brunch #Friends                       ,15,30,motivational
 Learning a new language for personal growth.       , Positive  , #LanguageLearning #PersonalGrowth       ,25,50,motivational
 Quiet evening with a good book.                    , Positive  , #Reading #QuietTime                     ,15,30,motivational
 Reflecting on the importance of mental health.     , Positive  , #MentalHealth #SelfCare                 ,22,45,motivational
 New painting in progress! 🎨                       , Positive  , #Art #PaintingInProgress             ,12,25,negative_emotion
 Weekend road trip to explore scenic views.         , Positive  , #RoadTrip #ScenicViews                  ,18,35,motivational
 Enjoying a cup of tea and watching the sunset.     , Positive  , #TeaTime #Sunset                       ,15,30,positive_emotion
 Coding a new project with enthusiasm.              , Positive  , #Coding #Enthusiasm                   ,30,60,positive_emotion
 Feeling inspired after attending a workshop.       , Positive  , #Inspiration #Workshop                  ,25,50,motivational
 Winter sports day at the local park.               , Positive  , #WinterSports #Fun                     ,15,30,motivational
 Quality time with family this weekend.             , Positive  , #FamilyTime #Weekend                    ,22,45,motivational
 Attending a live music concert tonight.            , Positive  , #Music #ConcertNight                  ,18,35,reflective
 Practicing mindfulness with meditation.            , Positive  , #Mindfulness #Meditation               ,15,30,mindfulness_calm
 Trying out a new dessert recipe.                   , Positive  , #Dessert #Cooking                      ,12,25,motivational
 Excited about the upcoming gaming tournament.      , Positive  , #Gaming #Tournament                     ,30,60,motivational
 Planning a garden makeover for spring.             , Positive  , #Gardening #Spring                     ,25,50,motivational
 Celebrating a friend's birthday tonight! 🎂       , Positive  , #Birthday #Celebration                  ,15,30,reflective
 Feeling accomplished after a productive day.       , Positive  , #Accomplished #Success               ,22,45,motivational
 A cozy evening with a good movie.                 , Positive  , #CozyNight #MovieTime                   ,18,35,motivational
 Exploring local art galleries this weekend.        , Positive  , #Art #GalleryExplore                    ,15,30,motivational
 New book release from my favorite author!          , Positive  , #BookRelease #FavoriteAuthor           ,12,25,motivational
 Attending a virtual reality meetup.                , Positive  , #VRMeetup #VirtualReality               ,28,55,motivational
 Reflecting on the beauty of nature.                , Positive  , #Nature #Reflection                     ,15,30,nature
 Cooking a special dinner for loved ones.           , Positive  , #Cooking #SpecialDinner                ,20,40,positive_emotion
 Feeling optimistic about the week ahead.           , Positive  , #Optimism #NewWeek                     ,15,30,motivational
 Starting a new fitness challenge tomorrow! 💪     , Positive  , #FitnessChallenge #NewBeginnings       ,22,45,motivational
